study,scenario,K,euler_steps,paths,method,output_path,runtime_seconds
path_48,ATM,100,48,60000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,0.556602
path_48,ATM,100,48,60000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,115.376211
path_48,ITM put,110,48,250,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,0.169560
path_48,ITM put,110,48,250,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,1.046782
path_48,ITM put,110,48,500,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,0.170553
path_48,ITM put,110,48,500,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,1.941283
path_48,ITM put,110,48,1000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,0.178011
path_48,ITM put,110,48,1000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,3.756809
path_48,ITM put,110,48,2000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,0.179293
path_48,ITM put,110,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,5.441459
path_48,ITM put,110,48,5000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,0.196780
path_48,ITM put,110,48,5000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,10.751543
path_48,ITM put,110,48,10000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,0.221315
