scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,20000,hybrid,2026,2103,1000,37.8765637,10.682037,10.898149998514,0.034279350109,0.134375052428,0.020231440737,0.013941673512,0.026521207961,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,benchmark,2026,2103,1000,0.299422700002,10.682037,10.806834380928,0.110628323370,0.433663027611,0.011682919740,0.000000000000,0.031981624360,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,hybrid,2026,2103,1000,37.9419337,10.682037,10.672650431319,0.035082333695,0.137522748084,0.000878724599,0.000000000000,0.007315827751,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,20000,benchmark,2026,2103,1000,0.320002400003,10.682037,10.816495015991,0.110891016435,0.434692784423,0.012587301092,0.000000000000,0.032934206107,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,20000,hybrid,2026,2103,1000,38.0726392,10.682037,10.606747316335,0.035035724218,0.137340038936,0.007048251533,0.000619700549,0.013476802517,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,20000,benchmark,2026,2103,1000,0.361776799997,10.682037,10.836790103460,0.113074809879,0.443253254726,0.014487227807,0.000000000000,0.035234827479,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,20000,hybrid,2026,2103,1000,37.6322944,10.682037,10.679411293717,0.035151349888,0.137793291563,0.000245805766,0.000000000000,0.006695572395,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,20000,benchmark,2026,2103,1000,0.241264800003,15.743520,16.240621671743,0.126892324772,0.497417913108,0.031575001762,0.015777457340,0.047372546184,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,20000,hybrid,2026,2103,1000,37.5604169,15.743520,15.952965094653,0.044144533123,0.173046569841,0.013303574719,0.007807771688,0.018799377749,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,benchmark,2026,2103,1000,0.285746499998,15.743520,15.920336648207,0.123350267238,0.483533047574,0.011231074639,0.000000000000,0.026587648251,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
