scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,60000,benchmark,2026,2103,1000,0.775527099999,10.682037,10.711736304409,0.063147043025,0.247536408659,0.002780303458,0.000000000000,0.014366876724,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,60000,hybrid,2026,2103,1000,108.3448363,10.682037,10.638746673302,0.020195411219,0.079166011980,0.004052628417,0.000347061212,0.007758195622,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,60000,benchmark,2026,2103,1000,0.416950400002,15.743520,16.049572666815,0.072764779700,0.285237936425,0.019439913489,0.010381013814,0.028498813164,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,60000,hybrid,2026,2103,1000,107.9542085,15.743520,16.025894711981,0.025601034307,0.100356054485,0.017935932497,0.014748714693,0.021123150301,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,60000,benchmark,2026,2103,1000,0.541853900002,15.743520,15.787521668474,0.071467547051,0.280152784440,0.002794906633,0.000000000000,0.011692306466,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,60000,hybrid,2026,2103,1000,108.2133587,15.743520,15.802897874443,0.025929464329,0.101643500171,0.003771575508,0.000543469590,0.006999681426,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,60000,benchmark,2026,2103,1000,0.657157600006,15.743520,15.853083077426,0.072870474046,0.285652258260,0.006959249102,0.000000000000,0.016031307265,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,60000,hybrid,2026,2103,1000,109.2896387,15.743520,15.749099523148,0.026005787468,0.101942686874,0.000354401249,0.000000000000,0.003592009067,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,60000,benchmark,2026,2103,1000,0.766313500004,15.743520,15.805739612004,0.071552128724,0.280484344596,0.003952077553,0.000000000000,0.012860007438,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,60000,hybrid,2026,2103,1000,108.4366571,15.743520,15.724749660879,0.025996935211,0.101907986025,0.001192258092,0.000000000000,0.004428763843,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
